KECAMATAN,LUAS_WILAY,KODE_WILAYAH,JML_DIARE
Panti,"4799","68153","1694"
Sumberjambe,"5816","68195","1715"
Mayang,"4999","68118","1379"
Jenggawah,"7429","68171","2319"
Umbulsari,"1383","68166","1983"
Tanggul,"4832","68155","2360"
Arjasa,"1088","68191","1085"
Kencong,"1065","68167","1858"
Balung,"4874","68161","2196"
Jelbuk,"9758","68192","912"
Kalisat,"4227","68118","2138"
Sukorambi,"3740","68151","1082"
Ambulu,"1045","68132","2997"
Sumber Baru,"1079","68156","2836"
Tempurejo,"3612","68173","2015"
Rambipuji,"3130","68152","2252"
Bangsalsari,"7576","68154","3249"
Silo,"3099","68184","2962"
Kaliwates,"3140","68131","3074"
Patrang,"4261","68111","2694"
Mumbulsari,"4225","68174","2319"
Sukowono,"2695","68194","1675"
Pakusari,"5529","68181","1190"
Wuluhan,"1447","68162","3271"
Gumuk Mas,"1466","68165","2259"
Puger,"8611","68164","3266"
Ledokombo,"9880","68196","1783"
Sumbersari,"4736","68121","3602"
Ajung,"5661","68175","2122"
Semboro,"4443","68157","1240"
Jombang,"5430","68168","1426"
